Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,4475.56,2348810240,0.47,2000263573504,
2,1.001,4521.84,4722786304,0.94,2000263573504,
3,1.502,4457.01,7063207936,1.41,2000263573504,
4,2.003,4538.97,9445572608,1.89,2000263573504,
5,2.503,4619.69,11869880320,2.37,2000263573504,
6,3.004,4343.22,14151581696,2.83,2000263573504,
7,3.504,4187.98,16349396992,3.27,2000263573504,
8,4.005,4477.02,18698207232,3.74,2000263573504,
9,4.508,4292.80,20963131392,4.19,2000263573504,
10,5.009,4632.48,23395827712,4.68,2000263573504,
11,5.509,4477.08,25744637952,5.15,2000263573504,
12,6.010,4571.78,28143779840,5.63,2000263573504,
13,6.510,1924.33,29153558528,5.83,2000263573504,
