Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Drive Used Bytes,Notes
1,0.503,4404.78,2323644416,0.25,2000263573504,470990987264,
2,1.004,4312.01,4588568576,0.49,2000263573504,470990987264,
3,1.506,4400.43,6903824384,0.73,2000263573504,470990987264,
4,2.006,4365.75,9193914368,0.98,2000263573504,470990987264,
5,2.507,4311.37,11458838528,1.22,2000263573504,470990987264,
6,3.008,4059.12,13589544960,1.45,2000263573504,470990987264,
7,3.509,3972.52,15678308352,1.67,2000263573504,470990987264,
8,4.011,4283.93,17934843904,1.91,2000263573504,470990987264,
9,4.512,4123.86,20099104768,2.14,2000263573504,470990987264,
10,5.014,4186.89,22305308672,2.37,2000263573504,470990987264,
11,5.515,4329.93,24578621440,2.61,2000263573504,470990987264,
12,6.016,4268.12,26818379776,2.85,2000263573504,470990987264,
13,6.516,4218.69,29032972288,3.09,2000263573504,470990987264,
14,7.018,4290.40,31289507840,3.33,2000263573504,470990987264,
15,7.521,4120.34,33462157312,3.56,2000263573504,470990987264,
16,8.022,4357.43,35752247296,3.80,2000263573504,470990987264,
17,8.523,4314.69,38017171456,4.04,2000263573504,470990987264,
18,9.023,4233.13,40240152576,4.28,2000263573504,470990987264,
19,9.524,4250.83,42471522304,4.52,2000263573504,470990987264,
20,10.025,4218.96,44686114816,4.75,2000263573504,470990987264,
21,10.525,4331.99,46959427584,5.00,2000263573504,470990987264,
22,11.026,4475.25,49308237824,5.24,2000263573504,470990987264,
23,11.526,4124.35,51472498688,5.48,2000263573504,470990987264,
24,12.026,4348.89,53754200064,5.72,2000263573504,470990987264,
25,12.527,4394.67,56061067264,5.96,2000263573504,470990987264,
26,13.028,4378.47,58359545856,6.21,2000263573504,470990987264,
27,13.528,4201.68,60565749760,6.44,2000263573504,470990987264,
28,14.029,4076.84,62704844800,6.67,2000263573504,470990987264,
29,14.529,4252.73,64936214528,6.91,2000263573504,470990987264,
30,15.030,3932.05,66999812096,7.13,2000263573504,470990987264,
31,15.530,4027.60,69113741312,7.35,2000263573504,470990987264,
32,16.031,4218.44,71328333824,7.59,2000263573504,470990987264,
33,16.532,4102.35,73484206080,7.82,2000263573504,470990987264,
34,17.032,4174.20,75673632768,8.05,2000263573504,470990987264,
35,17.533,4198.50,77879836672,8.28,2000263573504,470990987264,
36,18.035,4115.74,80044097536,8.51,2000263573504,470990987264,
37,18.537,4108.63,82208358400,8.74,2000263573504,470990987264,
38,19.038,4169.60,84397785088,8.98,2000263573504,470990987264,
39,19.540,3987.23,86494937088,9.20,2000263573504,470990987264,
40,20.041,4390.45,88801804288,9.45,2000263573504,470990987264,
41,20.542,4070.54,90940899328,9.67,2000263573504,470990987264,
42,21.042,4236.06,93163880448,9.91,2000263573504,470990987264,
43,21.543,3978.53,95252643840,10.13,2000263573504,470990987264,
44,22.044,4218.36,97467236352,10.37,2000263573504,470990987264,
45,22.544,4061.32,99597942784,10.59,2000263573504,470990987264,
46,23.045,4197.32,101804146688,10.83,2000263573504,470990987264,
47,23.547,4268.61,104052293632,11.07,2000263573504,470990987264,
48,24.048,4219.59,106266886144,11.30,2000263573504,470990987264,
49,24.551,4010.17,108380815360,11.53,2000263573504,470990987264,
50,25.051,4346.59,110662516736,11.77,2000263573504,470990987264,
51,25.552,4219.76,112877109248,12.01,2000263573504,470990987264,
52,26.052,4140.61,115049758720,12.24,2000263573504,470990987264,
53,26.553,4172.74,117239185408,12.47,2000263573504,470990987264,
54,27.053,4172.10,119428612096,12.70,2000263573504,470990987264,
55,27.554,4202.26,121634816000,12.94,2000263573504,470990987264,
56,28.054,4154.88,123815854080,13.17,2000263573504,470990987264,
57,28.555,4220.36,126030446592,13.41,2000263573504,470990987264,
58,29.055,4186.81,128228261888,13.64,2000263573504,470990987264,
59,29.556,4123.72,130392522752,13.87,2000263573504,470990987264,
60,30.057,3947.35,132464508928,14.09,2000263573504,470990987264,
61,30.559,4108.29,134628769792,14.32,2000263573504,470990987264,
62,31.060,4266.85,136868528128,14.56,2000263573504,470990987264,
63,31.561,4049.20,138999234560,14.79,2000263573504,470990987264,
64,32.062,4333.36,141272547328,15.03,2000263573504,470990987264,
65,32.562,4269.53,143512305664,15.27,2000263573504,470990987264,
66,33.063,4394.03,145819172864,15.51,2000263573504,470990987264,
67,33.563,3884.68,147857604608,15.73,2000263573504,470990987264,
68,34.064,4266.98,150097362944,15.97,2000263573504,470990987264,
69,34.564,4361.67,152387452928,16.21,2000263573504,470990987264,
70,35.067,4284.05,154643988480,16.45,2000263573504,470990987264,
71,35.567,4204.89,156850192384,16.68,2000263573504,470990987264,
72,36.068,4170.94,159039619072,16.92,2000263573504,470990987264,
73,36.568,4188.11,161237434368,17.15,2000263573504,470990987264,
74,37.069,4251.09,163468804096,17.39,2000263573504,470990987264,
75,37.570,4216.97,165683396608,17.62,2000263573504,470990987264,
76,38.070,4376.81,167981875200,17.87,2000263573504,470990987264,
77,38.572,4208.27,170196467712,18.10,2000263573504,470990987264,
78,39.073,4058.24,172327174144,18.33,2000263573504,470990987264,
79,39.576,4121.81,174499823616,18.56,2000263573504,470990987264,
80,40.076,4204.99,176706027520,18.80,2000263573504,470990987264,
81,40.576,4172.40,178895454208,19.03,2000263573504,470990987264,
82,41.077,4395.57,181202321408,19.27,2000263573504,470990987264,
83,41.577,4252.47,183433691136,19.51,2000263573504,470990987264,
84,42.078,4346.81,185715392512,19.75,2000263573504,470990987264,
85,42.578,4140.09,187888041984,19.99,2000263573504,470990987264,
86,43.080,4326.86,190161354752,20.23,2000263573504,470990987264,
87,43.580,4152.55,192342392832,20.46,2000263573504,470990987264,
88,44.081,4379.82,194640871424,20.70,2000263573504,470990987264,
89,44.581,4139.24,196813520896,20.93,2000263573504,470990987264,
90,45.082,4221.97,199028113408,21.17,2000263573504,470990987264,
91,45.582,4441.75,201360146432,21.42,2000263573504,470990987264,
92,46.083,4284.73,203608293376,21.66,2000263573504,470990987264,
93,46.583,4058.98,205738999808,21.88,2000263573504,470990987264,
94,47.084,4378.57,208037478400,22.13,2000263573504,470990987264,
95,47.585,4268.04,210277236736,22.37,2000263573504,470990987264,
96,48.085,4508.04,212642824192,22.62,2000263573504,470990987264,
97,48.586,4249.86,214874193920,22.86,2000263573504,470990987264,
98,49.086,4106.90,217030066176,23.09,2000263573504,470990987264,
99,49.587,4205.04,219236270080,23.32,2000263573504,470990987264,
100,50.087,4171.51,221425696768,23.55,2000263573504,470990987264,
101,50.588,4218.60,223640289280,23.79,2000263573504,470990987264,
102,51.089,4457.36,225980710912,24.04,2000263573504,470990987264,
103,51.589,4202.55,228186914816,24.27,2000263573504,470990987264,
104,52.090,4426.55,230510559232,24.52,2000263573504,470990987264,
105,52.590,4251.19,232741928960,24.76,2000263573504,470990987264,
106,53.091,4362.24,235032018944,25.00,2000263573504,470990987264,
107,53.592,4187.03,237229834240,25.23,2000263573504,470990987264,
108,54.092,4427.62,239553478656,25.48,2000263573504,470990987264,
109,54.595,4076.04,241700962304,25.71,2000263573504,470990987264,
110,55.095,4234.33,243923943424,25.95,2000263573504,470990987264,
111,55.596,4365.54,246214033408,26.19,2000263573504,470990987264,
112,56.097,4103.74,248369905664,26.42,2000263573504,470990987264,
113,56.599,4300.35,250634829824,26.66,2000263573504,470990987264,
114,57.099,4188.16,252832645120,26.89,2000263573504,470990987264,
115,57.600,4166.78,255022071808,27.13,2000263573504,470990987264,
116,58.101,4395.30,257328939008,27.37,2000263573504,470990987264,
117,58.602,4345.37,259610640384,27.61,2000263573504,470990987264,
118,59.102,4253.67,261842010112,27.85,2000263573504,470990987264,
119,59.602,4285.57,264090157056,28.09,2000263573504,470990987264,
120,60.106,4285.42,266355081216,28.33,2000263573504,470990987264,
121,60.607,4075.88,268494176256,28.56,2000263573504,470990987264,
122,61.107,4490.21,270851375104,28.81,2000263573504,470990987264,
123,61.608,4286.20,273099522048,29.05,2000263573504,470990987264,
124,62.108,4346.26,275381223424,29.29,2000263573504,470990987264,
125,62.609,4317.10,277646147584,29.53,2000263573504,470990987264,
126,63.109,4299.45,279902683136,29.77,2000263573504,470990987264,
127,63.610,4185.74,282100498432,30.01,2000263573504,470990987264,
128,64.111,4296.83,284357033984,30.25,2000263573504,470990987264,
129,64.612,4265.09,286596792320,30.49,2000263573504,470990987264,
