Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %
1,0.500,953.11,500170752,3.26
2,1.001,691.91,862978048,5.62
3,1.501,820.92,1293942784,8.42
4,2.002,875.05,1753219072,11.41
5,2.502,872.99,2211446784,14.40
6,3.002,867.93,2666528768,17.36
7,3.503,864.51,3120562176,20.32
8,4.004,875.10,3579838464,23.31
9,4.504,865.50,4033871872,26.26
10,5.004,883.88,4497342464,29.28
11,5.505,884.49,4961861632,32.30
12,6.006,846.76,5406457856,35.20
13,6.506,864.82,5860491264,38.16
14,7.007,882.33,6323961856,41.17
15,7.508,825.64,6757023744,43.99
16,8.008,848.64,7202668544,46.89
17,8.509,828.67,7637827584,49.73
18,9.010,827.26,8071938048,52.55
19,9.513,839.88,8515485696,55.44
20,10.014,845.45,8959033344,58.33
21,10.514,845.87,9402580992,61.22
22,11.014,850.70,9849274368,64.12
23,11.515,848.64,10294919168,67.03
24,12.016,806.64,10718543872,69.78
25,12.516,851.79,11165237248,72.69
26,13.016,805.69,11587813376,75.44
27,13.516,813.92,12014583808,78.22
28,14.017,831.73,12450791424,81.06
29,14.517,775.76,12857638912,83.71
30,15.018,810.58,13283360768,86.48
31,15.518,829.49,13718519808,89.32
32,16.018,833.52,14155776000,92.16
33,16.519,830.97,14591983616,95.00
34,17.020,852.26,15039725568,97.92
